,fk_maquina,nome,data_medicao,cpu_frequencia,cpu_porcentagem,cpu_temperatura,disco_livre,disco_porcentagem,ram_livre,ram_porcentagem
28,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:11:50,99.0,51.17,27.85,240.23,74.21,0.68,91.3
29,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:11:59,99.0,46.16,27.85,240.2,74.21,0.69,91.3
30,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:12:07,99.0,46.54,27.85,240.09,74.22,0.65,91.55
31,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:12:16,99.0,37.34,27.85,240.05,74.23,0.68,91.68
32,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:12:24,99.0,50.37,27.85,240.05,74.23,0.66,91.42
33,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:12:33,99.0,45.73,27.85,240.05,74.23,0.64,92.06
34,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:12:41,99.0,39.76,27.85,240.04,74.23,0.63,91.93
35,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:12:49,99.0,66.13,27.85,240.03,74.23,0.63,92.31
36,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:12:57,99.0,37.89,27.85,240.01,74.23,0.63,92.06
37,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:13:07,99.0,43.48,27.85,240.01,74.23,0.64,91.93
38,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:13:15,99.0,50.78,27.85,239.83,74.25,0.87,91.55
39,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:13:26,99.0,40.52,27.85,239.76,74.26,1.12,85.88
40,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:13:35,99.0,34.84,27.85,239.76,74.26,1.11,85.88
41,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:13:42,99.0,37.1,27.85,239.76,74.26,1.12,85.88
42,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:13:50,99.0,35.01,27.85,239.76,74.26,1.08,86.25
43,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:13:58,99.0,48.84,27.85,239.75,74.26,1.06,86.76
44,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:14:07,99.0,39.37,27.85,239.75,74.26,1.08,86.38
45,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:14:15,99.0,38.85,27.85,239.74,74.26,1.09,86.25
46,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:14:23,99.0,40.26,27.85,239.7,74.27,1.04,86.76
47,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:14:32,99.0,60.4,27.85,239.69,74.27,1.03,86.89
48,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:14:40,99.0,36.74,27.85,239.68,74.27,1.03,87.01
49,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:14:48,99.0,33.74,27.85,239.67,74.27,1.03,87.01
50,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:14:56,99.0,36.11,27.85,239.67,74.27,1.02,87.01
51,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:15:04,99.0,35.75,27.85,239.67,74.27,1.04,86.89
52,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:15:11,99.0,33.61,27.85,239.67,74.27,1.04,86.89
53,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:15:19,99.0,36.92,27.85,239.66,74.27,1.02,87.14
54,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:15:27,99.0,35.38,27.85,239.66,74.27,1.02,87.01
55,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:15:35,99.0,37.28,27.85,239.66,74.27,1.03,87.14
56,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:15:43,99.0,39.61,27.85,239.66,74.27,1.06,86.63
57,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:15:51,99.0,41.16,27.85,239.65,74.27,1.04,86.89
58,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:15:59,99.0,38.44,27.85,239.65,74.27,1.03,87.01
59,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:16:07,99.0,42.8,27.85,239.65,74.27,1.0,87.39
60,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:16:15,99.0,40.06,27.85,239.65,74.27,1.04,87.01
61,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:16:23,99.0,38.28,27.85,239.64,74.27,1.03,87.01
62,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:16:31,99.0,38.08,27.85,239.64,74.27,1.01,87.14
63,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:16:38,99.0,37.59,27.85,239.63,74.28,1.02,87.14
64,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:16:46,99.0,33.87,27.85,239.63,74.28,0.99,87.39
65,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:16:54,99.0,36.35,27.85,239.63,74.28,1.0,87.39
66,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:17:02,99.0,44.61,27.85,239.62,74.28,0.99,87.52
67,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:17:10,99.0,43.09,27.85,239.62,74.28,1.0,87.39
68,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:17:18,99.0,34.98,27.85,239.62,74.28,0.99,87.39
69,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:17:26,99.0,38.83,27.85,239.62,74.28,1.02,87.14
70,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:17:34,99.0,39.66,27.85,239.61,74.28,0.99,87.39
71,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:17:41,99.0,37.27,27.85,239.61,74.28,1.01,87.26
72,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:17:49,99.0,45.4,27.85,239.61,74.28,1.01,87.26
73,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:17:57,99.0,48.51,27.85,239.61,74.28,0.97,87.39
74,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:18:05,99.0,47.14,27.85,239.6,74.28,0.99,87.64
75,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:18:13,99.0,67.66,27.85,239.57,74.28,1.0,87.26
76,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:18:21,99.0,45.46,27.85,239.5,74.29,1.39,82.47
77,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:18:29,99.0,48.45,27.85,239.5,74.29,1.37,82.72
78,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:18:37,99.0,38.09,27.85,239.49,74.29,1.36,82.85
79,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:18:45,99.0,35.14,27.85,239.49,74.29,1.36,82.72
80,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:18:53,99.0,39.4,27.85,239.49,74.29,1.36,82.72
81,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:19:01,99.0,40.77,27.85,239.49,74.29,1.35,82.98
82,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:19:09,99.0,82.57,27.85,239.48,74.29,1.3,83.73
83,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:19:18,99.0,35.77,27.85,239.47,74.29,1.26,84.11
84,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:19:26,99.0,37.08,27.85,239.47,74.29,1.29,83.61
85,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:19:33,99.0,40.76,27.85,239.46,74.29,1.29,83.61
86,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:20:13,99.0,45.05,27.85,239.45,74.29,1.39,82.22
87,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:20:21,99.0,39.99,27.85,239.44,74.3,1.36,82.85
88,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:20:28,99.0,39.77,27.85,239.44,74.3,1.36,82.85
89,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:20:35,99.0,36.2,27.85,239.44,74.3,1.36,82.72
90,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:20:42,99.0,45.0,27.85,239.37,74.3,1.3,83.35
91,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:20:51,99.0,45.79,27.85,239.05,74.34,1.21,84.62
92,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:20:59,99.0,42.31,27.85,239.0,74.34,1.17,85.25
93,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:21:08,99.0,37.1,27.85,239.0,74.34,1.25,84.24
94,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:21:15,99.0,34.6,27.85,239.0,74.34,1.27,83.98
95,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:21:22,99.0,41.79,27.85,238.96,74.34,1.27,83.98
96,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:21:29,99.0,40.39,27.85,238.78,74.36,1.26,84.11
97,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:21:37,99.0,37.3,27.85,238.65,74.38,1.26,83.98
98,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:21:44,99.0,41.14,27.85,238.63,74.38,1.27,83.98
99,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:21:51,99.0,56.41,27.85,238.62,74.38,1.26,83.98
100,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:21:58,99.0,56.15,27.85,238.62,74.38,1.25,84.24
101,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:22:05,99.0,55.2,27.85,238.61,74.38,1.26,83.98
102,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:22:12,99.0,55.59,27.85,238.6,74.39,1.26,83.98
103,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:22:19,99.0,46.17,27.85,238.6,74.39,1.21,84.74
104,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:22:26,99.0,46.18,27.85,238.59,74.39,1.39,82.47
105,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:22:33,99.0,52.31,27.85,238.59,74.39,1.38,82.47
106,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:22:41,99.0,97.72,27.85,238.56,74.39,1.39,82.35
107,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:22:49,22.0,18.12,27.85,238.52,74.39,1.71,78.31
108,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:22:57,99.0,30.81,27.85,238.5,74.4,1.7,78.69
109,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:23:04,99.0,34.33,27.85,238.49,74.4,1.66,78.81
110,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:23:12,96.0,11.52,27.85,238.45,74.4,2.01,74.65
111,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:23:19,100.0,10.23,27.85,238.41,74.4,2.87,63.56
112,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:23:28,27.0,17.29,27.85,238.38,74.41,2.88,63.56
113,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:23:37,34.0,15.27,27.85,238.23,74.42,2.87,63.93
114,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:23:46,28.0,35.22,27.85,237.95,74.45,2.67,66.08
115,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:23:58,48.0,11.13,27.85,237.74,74.47,2.72,65.7
116,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:24:08,73.0,9.25,27.85,237.47,74.51,2.91,63.81
117,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:24:17,25.0,23.49,27.85,237.45,74.51,2.81,63.93
119,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:24:40,55.0,16.76,27.85,237.37,74.52,2.85,63.68
120,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:24:48,47.0,4.28,27.85,237.37,74.52,2.84,64.06
121,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:24:54,23.0,6.55,27.85,237.37,74.52,2.81,64.31
122,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:01,68.0,3.05,27.85,237.36,74.52,2.82,64.31
123,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:07,32.0,9.84,27.85,237.36,74.52,2.81,64.44
124,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:13,22.0,10.76,27.85,237.35,74.52,2.81,64.44
125,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:18,72.0,5.78,27.85,237.33,74.52,2.76,64.69
126,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:25,28.0,19.43,27.85,237.33,74.52,2.72,65.7
127,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:31,88.0,9.65,27.85,237.32,74.52,2.74,65.32
128,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:37,29.0,7.7,27.85,237.32,74.52,2.77,65.2
129,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:42,22.0,6.89,27.85,237.32,74.52,2.76,65.07
130,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:48,99.0,9.48,27.85,237.32,74.52,2.76,65.2
131,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:54,30.0,7.68,27.85,237.32,74.52,2.75,65.2
132,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:25:59,99.0,6.13,27.85,237.32,74.52,2.76,65.32
133,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:26:05,99.0,5.76,27.85,237.31,74.52,2.76,65.2
134,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:26:10,22.0,4.99,27.85,237.31,74.52,2.78,64.94
135,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:26:16,99.0,4.24,27.85,237.31,74.52,2.79,65.07
136,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:26:22,99.0,4.26,27.85,237.31,74.52,2.79,64.82
137,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:26:27,98.0,4.54,27.85,237.31,74.52,2.79,64.82
138,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:26:33,43.0,3.08,27.85,237.27,74.53,2.8,64.56
139,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:26:40,23.0,17.33,27.85,237.27,74.53,2.73,65.32
140,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:26:46,21.0,6.89,27.85,237.27,74.53,2.76,65.32
141,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:26:52,25.0,31.53,27.85,237.26,74.53,2.73,65.32
142,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:26:58,93.0,4.94,27.85,237.26,74.53,2.72,65.57
143,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:27:04,99.0,8.79,27.85,237.26,74.53,2.76,65.57
144,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:27:10,23.0,7.59,27.85,237.26,74.53,2.75,65.32
145,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:27:15,46.0,6.08,27.85,237.25,74.53,2.74,65.32
146,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:27:22,63.0,6.55,27.85,237.25,74.53,2.75,65.2
147,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:27:27,23.0,3.76,27.85,237.25,74.53,2.75,65.45
148,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:27:33,61.0,15.41,27.85,237.24,74.53,2.69,65.57
149,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:27:39,28.0,12.68,27.85,237.24,74.53,2.68,66.08
150,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:27:45,33.0,11.98,27.85,237.23,74.53,2.69,66.08
151,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:27:52,99.0,12.5,27.85,237.23,74.53,2.67,66.08
152,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:27:57,94.0,14.38,27.85,237.23,74.53,2.68,66.33
153,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:28:03,21.0,16.91,27.85,237.23,74.53,2.7,65.83
154,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:28:09,22.0,9.09,27.85,237.23,74.53,2.7,65.95
155,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:28:15,36.0,11.35,27.85,237.23,74.53,2.7,65.83
156,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:28:20,66.0,11.08,27.85,237.22,74.53,2.67,66.2
157,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:28:26,99.0,8.86,27.85,237.22,74.53,2.7,65.95
158,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:28:32,25.0,8.84,27.85,237.22,74.53,2.7,65.95
159,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:28:37,34.0,10.25,27.85,237.22,74.53,2.7,65.83
160,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:28:43,45.0,8.51,27.85,237.22,74.53,2.71,65.83
161,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:28:49,84.0,9.82,27.85,237.22,74.53,2.71,65.7
162,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:28:55,93.0,8.89,27.85,237.22,74.53,2.71,65.7
163,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:00,22.0,6.15,27.85,237.22,74.53,2.7,65.7
164,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:06,21.0,14.4,27.85,237.21,74.53,2.7,65.57
165,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:11,40.0,7.26,27.85,237.21,74.53,2.7,65.95
166,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:17,34.0,8.1,27.85,237.21,74.53,2.73,65.57
167,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:23,54.0,9.96,27.85,237.21,74.53,2.72,65.57
168,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:29,94.0,7.7,27.85,237.21,74.53,2.73,65.57
169,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:34,58.0,9.6,27.85,237.21,74.53,2.73,65.57
170,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:40,32.0,8.05,27.85,237.21,74.53,2.75,65.32
171,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:46,22.0,7.4,27.85,237.21,74.53,2.75,65.2
172,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:51,34.0,9.5,27.85,237.2,74.54,2.75,65.2
173,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:29:57,33.0,8.7,27.85,237.2,74.54,2.73,65.45
174,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:30:03,21.0,5.83,27.85,237.2,74.54,2.75,65.32
175,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:30:09,22.0,11.56,27.85,237.19,74.54,2.75,65.32
176,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:30:14,85.0,31.62,27.85,237.19,74.54,2.71,65.83
177,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:30:21,95.0,12.66,27.85,237.19,74.54,2.72,65.7
178,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:30:27,46.0,19.3,27.85,237.11,74.55,2.68,65.95
179,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:30:34,63.0,17.35,27.85,237.06,74.55,2.57,67.47
180,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:30:41,99.0,16.21,27.85,237.0,74.56,2.47,68.22
181,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:30:52,22.0,30.76,27.85,236.98,74.56,2.46,69.1
182,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:30:58,85.0,12.88,27.85,236.97,74.56,2.45,69.23
183,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:31:05,24.0,13.44,27.85,236.84,74.57,2.44,69.36
184,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:31:12,99.0,36.15,27.85,236.81,74.58,2.29,70.87
185,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:31:19,22.0,16.7,27.85,236.8,74.58,2.31,70.87
186,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:31:26,22.0,11.52,27.85,236.79,74.58,2.36,70.24
187,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:31:32,75.0,6.04,27.85,236.79,74.58,2.36,70.24
188,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:31:38,21.0,6.45,27.85,236.78,74.58,2.36,70.24
189,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:31:44,98.0,4.66,27.85,236.78,74.58,2.36,70.24
190,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:31:50,32.0,12.29,27.85,236.78,74.58,2.32,70.49
191,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:31:56,92.0,18.05,27.85,236.77,74.58,2.31,70.74
192,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:01,21.0,8.38,27.85,236.77,74.58,2.34,70.62
193,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:07,61.0,3.87,27.85,236.77,74.58,2.33,70.49
194,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:13,80.0,9.56,27.85,236.77,74.58,2.33,70.49
195,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:19,43.0,8.45,27.85,236.77,74.58,2.32,70.62
196,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:24,22.0,9.21,27.85,236.77,74.58,2.35,70.24
197,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:30,21.0,12.33,27.85,236.76,74.58,2.35,70.37
198,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:36,24.0,6.92,27.85,236.76,74.58,2.35,70.24
199,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:41,86.0,3.08,27.85,236.76,74.58,2.35,70.24
200,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:47,91.0,9.19,27.85,236.76,74.58,2.36,70.24
201,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:52,22.0,4.97,27.85,236.75,74.58,2.36,70.24
202,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:32:59,97.0,4.65,27.85,236.75,74.58,2.33,70.74
203,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:33:05,31.0,47.32,27.85,236.74,74.59,2.24,71.5
204,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:33:11,23.0,16.41,27.85,236.74,74.59,2.26,71.5
205,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:33:16,41.0,17.7,27.85,236.72,74.59,2.34,70.62
206,0c:9d:92:c6:cc:19,DESKTOP1,2021-10-05 20:33:23,64.0,17.02,27.85,236.72,74.59,2.33,70.49
